2025-03-17 at 14:16:48 | INFO | Translating task is created / Black Horse
2025-03-17 at 14:40:54 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:40:56 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/ / 200
2025-03-17 at 14:58:04 | INFO | Webpage name is clownandco.org
2025-03-17 at 14:58:05 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/ / 200
2025-03-17 at 14:58:05 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-1/
2025-03-17 at 14:58:05 | INFO | got TEXT / Black Horse / 1 / https://clownandco.org/show/the-black-horse/chapter-2/
2025-03-17 at 14:58:07 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-2/ / 200
2025-03-17 at 14:58:07 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-2/
2025-03-17 at 14:58:07 | INFO | got TEXT / Black Horse / 2 / https://clownandco.org/show/the-black-horse/chapter-3/
2025-03-17 at 14:58:09 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-3/ / 200
2025-03-17 at 14:58:09 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-3/
2025-03-17 at 14:58:09 | INFO | got TEXT / Black Horse / 3 / https://clownandco.org/show/the-black-horse/chapter-4/
2025-03-17 at 14:58:10 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-4/ / 200
